
Data sent to Vercel successfully: {'date': '2025-01-18T17:37:50.973334', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.168, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:37:59.390013', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.158, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:38:07.805264', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.153, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:38:16.221553', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.151, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:38:24.637526', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.147, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:38:33.053601', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.155, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:38:41.469521', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.145, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:38:49.888467', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.145, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:38:58.333491', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.15, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:39:06.752736', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.142, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:39:15.197387', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.159, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:39:23.613372', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.212, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:39:32.029407', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.218, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:39:40.446334', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.211, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:39:48.861376', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.207, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:39:57.277945', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.202, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:40:05.693359', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.304, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:40:14.109431', 'conductivity': 0.0, 'density': 998.753, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.5, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.285, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:40:22.525557', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.273, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:40:30.941404', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.26, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:40:39.357344', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.251, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:40:47.777385', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.241, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:40:56.221389', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.234, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:41:04.637258', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.225, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:41:13.056442', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.218, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:41:21.501350', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.21, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:41:29.917924', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.206, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:41:38.333337', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.201, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
Data sent to Vercel successfully: {'date': '2025-01-18T17:41:46.749363', 'conductivity': 0.0, 'density': 998.762, 'salinity': 0.0, 'pressure': '5', 'temperature': 20.4375, 'turbidity': 1020.0, 'chlorophyll': '0', 'oxygen': 1.88, 'pH': 8.192, 'depth': '2', 'latitude': '123.311', 'longitude': '48.463', 'altitude': '2'}
